CODENVIO,FECHACORTE,CODPAF,FECHAATENCION,DESCRIPCIONPAF,TOTALFICHASCAJA,TOTALFICHASSINNULOS,TOTALFICHASMAYOR30
ICCCM,2026-06-30,19,2026-04-02,AGENCIA AV. COMARAPA,108,107,0
ICCCM,2026-06-30,19,2026-04-01,AGENCIA AV. COMARAPA,140,139,3
ICCCM,2026-06-30,19,2026-04-04,AGENCIA AV. COMARAPA,81,80,0
ICCCM,2026-06-30,19,2026-04-06,AGENCIA AV. COMARAPA,197,197,3
ICCCM,2026-06-30,19,2026-04-07,AGENCIA AV. COMARAPA,144,143,0
ICCCM,2026-06-30,19,2026-04-08,AGENCIA AV. COMARAPA,133,133,1
ICCCM,2026-06-30,19,2026-04-09,AGENCIA AV. COMARAPA,135,135,3
ICCCM,2026-06-30,19,2026-04-10,AGENCIA AV. COMARAPA,120,117,0
ICCCM,2026-06-30,19,2026-04-11,AGENCIA AV. COMARAPA,86,86,0
ICCCM,2026-06-30,19,2026-04-13,AGENCIA AV. COMARAPA,150,148,1
ICCCM,2026-06-30,19,2026-04-14,AGENCIA AV. COMARAPA,94,93,0
ICCCM,2026-06-30,19,2026-04-15,AGENCIA AV. COMARAPA,115,115,1
ICCCM,2026-06-30,19,2026-04-16,AGENCIA AV. COMARAPA,111,111,1
ICCCM,2026-06-30,19,2026-04-17,AGENCIA AV. COMARAPA,118,116,5
ICCCM,2026-06-30,19,2026-04-18,AGENCIA AV. COMARAPA,76,76,0
ICCCM,2026-06-30,19,2026-04-20,AGENCIA AV. COMARAPA,134,134,0
ICCCM,2026-06-30,19,2026-04-21,AGENCIA AV. COMARAPA,108,108,1
ICCCM,2026-06-30,19,2026-04-22,AGENCIA AV. COMARAPA,121,119,1
ICCCM,2026-06-30,19,2026-04-23,AGENCIA AV. COMARAPA,98,98,2
ICCCM,2026-06-30,19,2026-04-24,AGENCIA AV. COMARAPA,105,103,0
ICCCM,2026-06-30,19,2026-04-25,AGENCIA AV. COMARAPA,85,85,2
