CODENVIO,FECHACORTE,CODPAF,FECHAATENCION,DESCRIPCIONPAF,TOTALFICHASCAJA,TOTALFICHASSINNULOS,TOTALFICHASMAYOR30
ICCCM,2026-06-30,16,2026-04-01,AGENCIA COCHABAMBA,104,99,1
ICCCM,2026-06-30,16,2026-04-02,AGENCIA COCHABAMBA,66,61,0
ICCCM,2026-06-30,16,2026-04-04,AGENCIA COCHABAMBA,82,81,1
ICCCM,2026-06-30,16,2026-04-06,AGENCIA COCHABAMBA,145,138,2
ICCCM,2026-06-30,16,2026-04-07,AGENCIA COCHABAMBA,104,97,0
ICCCM,2026-06-30,16,2026-04-08,AGENCIA COCHABAMBA,88,82,0
ICCCM,2026-06-30,16,2026-04-09,AGENCIA COCHABAMBA,74,69,0
ICCCM,2026-06-30,16,2026-04-10,AGENCIA COCHABAMBA,99,94,0
ICCCM,2026-06-30,16,2026-04-11,AGENCIA COCHABAMBA,66,60,0
ICCCM,2026-06-30,16,2026-04-13,AGENCIA COCHABAMBA,99,96,0
ICCCM,2026-06-30,16,2026-04-14,AGENCIA COCHABAMBA,80,74,0
ICCCM,2026-06-30,16,2026-04-15,AGENCIA COCHABAMBA,123,112,0
ICCCM,2026-06-30,16,2026-04-16,AGENCIA COCHABAMBA,78,71,0
ICCCM,2026-06-30,16,2026-04-17,AGENCIA COCHABAMBA,78,74,0
ICCCM,2026-06-30,16,2026-04-18,AGENCIA COCHABAMBA,50,44,0
ICCCM,2026-06-30,16,2026-04-20,AGENCIA COCHABAMBA,105,101,0
ICCCM,2026-06-30,16,2026-04-21,AGENCIA COCHABAMBA,60,57,0
ICCCM,2026-06-30,16,2026-04-22,AGENCIA COCHABAMBA,64,62,1
ICCCM,2026-06-30,16,2026-04-23,AGENCIA COCHABAMBA,53,49,0
ICCCM,2026-06-30,16,2026-04-24,AGENCIA COCHABAMBA,61,58,0
ICCCM,2026-06-30,16,2026-04-25,AGENCIA COCHABAMBA,56,55,9
ICCCM,2026-06-30,16,2026-04-27,AGENCIA COCHABAMBA,103,100,0
ICCCM,2026-06-30,16,2026-04-28,AGENCIA COCHABAMBA,61,58,0
ICCCM,2026-06-30,16,2026-04-29,AGENCIA COCHABAMBA,75,73,0
ICCCM,2026-06-30,16,2026-04-30,AGENCIA COCHABAMBA,84,81,0
ICCCM,2026-06-30,16,2026-05-02,AGENCIA COCHABAMBA,101,95,0
ICCCM,2026-06-30,16,2026-05-04,AGENCIA COCHABAMBA,112,105,0
ICCCM,2026-06-30,16,2026-05-05,AGENCIA COCHABAMBA,40,38,0
ICCCM,2026-06-30,16,2026-05-06,AGENCIA COCHABAMBA,86,82,1
ICCCM,2026-06-30,16,2026-05-07,AGENCIA COCHABAMBA,71,71,0
ICCCM,2026-06-30,16,2026-05-08,AGENCIA COCHABAMBA,47,43,0
ICCCM,2026-06-30,16,2026-05-09,AGENCIA COCHABAMBA,72,65,0
ICCCM,2026-06-30,16,2026-05-11,AGENCIA COCHABAMBA,83,77,0
ICCCM,2026-06-30,16,2026-05-12,AGENCIA COCHABAMBA,68,63,0
ICCCM,2026-06-30,16,2026-05-13,AGENCIA COCHABAMBA,74,69,0
ICCCM,2026-06-30,16,2026-05-14,AGENCIA COCHABAMBA,61,57,0
ICCCM,2026-06-30,16,2026-05-15,AGENCIA COCHABAMBA,85,78,0
ICCCM,2026-06-30,16,2026-05-16,AGENCIA COCHABAMBA,45,43,0
ICCCM,2026-06-30,16,2026-05-18,AGENCIA COCHABAMBA,54,54,0
ICCCM,2026-06-30,16,2026-05-19,AGENCIA COCHABAMBA,46,42,0
ICCCM,2026-06-30,16,2026-05-20,AGENCIA COCHABAMBA,46,44,0
ICCCM,2026-06-30,16,2026-05-21,AGENCIA COCHABAMBA,51,47,0
ICCCM,2026-06-30,16,2026-05-22,AGENCIA COCHABAMBA,78,72,0
ICCCM,2026-06-30,16,2026-05-23,AGENCIA COCHABAMBA,33,31,1
ICCCM,2026-06-30,16,2026-05-25,AGENCIA COCHABAMBA,63,55,3
ICCCM,2026-06-30,16,2026-05-26,AGENCIA COCHABAMBA,43,41,0
ICCCM,2026-06-30,16,2026-05-27,AGENCIA COCHABAMBA,51,48,0
