CODENVIO,FECHACORTE,CODPAF,FECHAATENCION,DESCRIPCIONPAF,TOTALFICHASCAJA,TOTALFICHASSINNULOS,TOTALFICHASMAYOR30
ICCCM,2026-06-30,10,2026-04-01,Caja,109,108,0
ICCCM,2026-06-30,10,2026-04-02,Caja,120,120,0
ICCCM,2026-06-30,10,2026-04-04,Caja,84,84,0
ICCCM,2026-06-30,10,2026-04-06,Caja,237,237,0
ICCCM,2026-06-30,10,2026-04-07,Caja,181,181,0
ICCCM,2026-06-30,10,2026-04-08,Caja,163,163,0
ICCCM,2026-06-30,10,2026-04-09,Caja,133,133,0
ICCCM,2026-06-30,10,2026-04-10,Caja,139,139,0
ICCCM,2026-06-30,10,2026-04-11,Caja,80,80,0
ICCCM,2026-06-30,10,2026-04-13,Caja,175,174,0
ICCCM,2026-06-30,10,2026-04-14,Caja,123,123,0
ICCCM,2026-06-30,10,2026-04-15,Caja,113,113,0
ICCCM,2026-06-30,10,2026-04-16,Caja,108,107,0
ICCCM,2026-06-30,10,2026-04-17,Caja,116,115,0
ICCCM,2026-06-30,10,2026-04-18,Caja,81,80,0
ICCCM,2026-06-30,10,2026-04-20,Caja,180,180,0
ICCCM,2026-06-30,10,2026-04-21,Caja,114,114,0
ICCCM,2026-06-30,10,2026-04-22,Caja,130,129,0
ICCCM,2026-06-30,10,2026-04-23,Caja,103,102,0
ICCCM,2026-06-30,10,2026-04-24,Caja,100,99,0
ICCCM,2026-06-30,10,2026-04-25,Caja,94,94,0
ICCCM,2026-06-30,10,2026-04-27,Caja,133,133,0
ICCCM,2026-06-30,10,2026-04-28,Caja,115,114,0
ICCCM,2026-06-30,10,2026-04-29,Caja,112,110,0
ICCCM,2026-06-30,10,2026-04-30,Caja,146,145,0
ICCCM,2026-06-30,10,2026-05-02,Caja,74,74,0
ICCCM,2026-06-30,10,2026-05-04,Caja,206,206,0
ICCCM,2026-06-30,10,2026-05-05,Caja,168,168,0
ICCCM,2026-06-30,10,2026-05-06,Caja,104,104,0
ICCCM,2026-06-30,10,2026-05-07,Caja,82,82,0
ICCCM,2026-06-30,10,2026-05-08,Caja,113,113,2
ICCCM,2026-06-30,10,2026-05-09,Caja,67,67,0
ICCCM,2026-06-30,10,2026-05-11,Caja,143,136,20
ICCCM,2026-06-30,10,2026-05-12,Caja,103,103,2
ICCCM,2026-06-30,10,2026-05-13,Caja,71,70,0
ICCCM,2026-06-30,10,2026-05-14,Caja,78,78,0
ICCCM,2026-06-30,10,2026-05-15,Caja,78,78,0
ICCCM,2026-06-30,10,2026-05-16,Caja,77,75,0
ICCCM,2026-06-30,10,2026-05-18,Caja,127,124,0
ICCCM,2026-06-30,10,2026-05-19,Caja,77,76,0
ICCCM,2026-06-30,10,2026-05-20,Caja,74,73,0
ICCCM,2026-06-30,10,2026-05-21,Caja,72,70,0
ICCCM,2026-06-30,10,2026-05-22,Caja,83,82,0
ICCCM,2026-06-30,10,2026-05-23,Caja,51,51,0
ICCCM,2026-06-30,10,2026-05-25,Caja,128,128,0
ICCCM,2026-06-30,10,2026-05-26,Caja,92,91,0
ICCCM,2026-06-30,10,2026-05-27,Caja,53,53,0
ICCCM,2026-06-30,10,2026-05-28,Caja,83,80,0
ICCCM,2026-06-30,10,2026-05-29,Caja,74,72,0
ICCCM,2026-06-30,10,2026-05-30,Caja,68,67,0
ICCCM,2026-06-30,10,2026-06-01,Caja,160,158,0
ICCCM,2026-06-30,10,2026-06-02,Caja,145,143,0
ICCCM,2026-06-30,10,2026-06-03,Caja,144,142,0
ICCCM,2026-06-30,10,2026-06-06,Caja,118,116,0
ICCCM,2026-06-30,10,2026-06-08,Caja,157,154,1
ICCCM,2026-06-30,10,2026-06-09,Caja,135,132,0
ICCCM,2026-06-30,10,2026-06-10,Caja,150,148,0
ICCCM,2026-06-30,10,2026-06-13,Caja,117,117,0
ICCCM,2026-06-30,10,2026-06-15,Caja,231,228,0
ICCCM,2026-06-30,10,2026-06-16,Caja,120,117,0
ICCCM,2026-06-30,10,2026-06-17,Caja,106,104,0
ICCCM,2026-06-30,10,2026-06-18,Caja,114,113,0
ICCCM,2026-06-30,10,2026-06-19,Caja,111,111,0
ICCCM,2026-06-30,10,2026-06-20,Caja,87,86,0
ICCCM,2026-06-30,10,2026-06-23,Caja,191,190,0
ICCCM,2026-06-30,10,2026-06-24,Caja,96,95,0
ICCCM,2026-06-30,10,2026-06-25,Caja,85,84,0
ICCCM,2026-06-30,10,2026-06-26,Caja,99,99,0
ICCCM,2026-06-30,10,2026-06-27,Caja,66,63,0
ICCCM,2026-06-30,10,2026-06-29,Caja,121,119,0
ICCCM,2026-06-30,10,2026-06-30,Caja,129,125,0
