CODENVIO,FECHACORTE,CODPAF,FECHAATENCION,DESCRIPCIONPAF,TOTALFICHASCAJA,TOTALFICHASSINNULOS,TOTALFICHASMAYOR30
ICCCM,2026-06-30,13,2026-04-01,AGENCIA LOS NEGROS,166,161,1
ICCCM,2026-06-30,13,2026-04-02,AGENCIA LOS NEGROS,132,126,0
ICCCM,2026-06-30,13,2026-04-04,AGENCIA LOS NEGROS,133,129,0
ICCCM,2026-06-30,13,2026-04-06,AGENCIA LOS NEGROS,270,265,7
ICCCM,2026-06-30,13,2026-04-07,AGENCIA LOS NEGROS,180,174,0
ICCCM,2026-06-30,13,2026-04-08,AGENCIA LOS NEGROS,216,208,1
ICCCM,2026-06-30,13,2026-04-09,AGENCIA LOS NEGROS,158,150,0
ICCCM,2026-06-30,13,2026-04-10,AGENCIA LOS NEGROS,147,147,0
ICCCM,2026-06-30,13,2026-04-11,AGENCIA LOS NEGROS,112,110,0
ICCCM,2026-06-30,13,2026-04-13,AGENCIA LOS NEGROS,166,152,8
ICCCM,2026-06-30,13,2026-04-14,AGENCIA LOS NEGROS,141,138,0
ICCCM,2026-06-30,13,2026-04-15,AGENCIA LOS NEGROS,156,147,1
ICCCM,2026-06-30,13,2026-04-16,AGENCIA LOS NEGROS,150,142,0
ICCCM,2026-06-30,13,2026-04-17,AGENCIA LOS NEGROS,167,152,1
ICCCM,2026-06-30,13,2026-04-18,AGENCIA LOS NEGROS,122,120,1
ICCCM,2026-06-30,13,2026-04-20,AGENCIA LOS NEGROS,218,211,0
ICCCM,2026-06-30,13,2026-04-21,AGENCIA LOS NEGROS,198,190,1
ICCCM,2026-06-30,13,2026-04-22,AGENCIA LOS NEGROS,168,158,0
ICCCM,2026-06-30,13,2026-04-23,AGENCIA LOS NEGROS,119,113,1
ICCCM,2026-06-30,13,2026-04-24,AGENCIA LOS NEGROS,152,146,2
ICCCM,2026-06-30,13,2026-04-25,AGENCIA LOS NEGROS,136,132,4
ICCCM,2026-06-30,13,2026-04-27,AGENCIA LOS NEGROS,190,177,1
ICCCM,2026-06-30,13,2026-04-28,AGENCIA LOS NEGROS,160,154,2
ICCCM,2026-06-30,13,2026-04-29,AGENCIA LOS NEGROS,113,107,0
ICCCM,2026-06-30,13,2026-04-30,AGENCIA LOS NEGROS,148,126,0
ICCCM,2026-06-30,13,2026-05-02,AGENCIA LOS NEGROS,155,150,1
ICCCM,2026-06-30,13,2026-05-04,AGENCIA LOS NEGROS,193,185,0
ICCCM,2026-06-30,13,2026-05-05,AGENCIA LOS NEGROS,90,85,0
ICCCM,2026-06-30,13,2026-05-06,AGENCIA LOS NEGROS,173,159,1
ICCCM,2026-06-30,13,2026-05-07,AGENCIA LOS NEGROS,152,142,0
ICCCM,2026-06-30,13,2026-05-08,AGENCIA LOS NEGROS,150,144,0
ICCCM,2026-06-30,13,2026-05-09,AGENCIA LOS NEGROS,112,105,0
ICCCM,2026-06-30,13,2026-05-11,AGENCIA LOS NEGROS,165,154,2
ICCCM,2026-06-30,13,2026-05-12,AGENCIA LOS NEGROS,126,117,1
ICCCM,2026-06-30,13,2026-05-13,AGENCIA LOS NEGROS,112,104,1
ICCCM,2026-06-30,13,2026-05-14,AGENCIA LOS NEGROS,131,124,2
ICCCM,2026-06-30,13,2026-05-15,AGENCIA LOS NEGROS,150,144,0
ICCCM,2026-06-30,13,2026-05-16,AGENCIA LOS NEGROS,75,70,0
ICCCM,2026-06-30,13,2026-05-18,AGENCIA LOS NEGROS,181,173,0
ICCCM,2026-06-30,13,2026-05-19,AGENCIA LOS NEGROS,106,100,2
ICCCM,2026-06-30,13,2026-05-20,AGENCIA LOS NEGROS,121,111,0
ICCCM,2026-06-30,13,2026-05-21,AGENCIA LOS NEGROS,110,100,1
ICCCM,2026-06-30,13,2026-05-22,AGENCIA LOS NEGROS,147,134,2
