CODENVIO,FECHACORTE,CODPAF,FECHAATENCION,DESCRIPCIONPAF,TOTALFICHASCAJA,TOTALFICHASSINNULOS,TOTALFICHASMAYOR30
ICCCM,2026-06-30,10,2026-04-01,OF. EXTERNA OMEREQUE,69,69,0
ICCCM,2026-06-30,10,2026-04-02,OF. EXTERNA OMEREQUE,35,35,0
ICCCM,2026-06-30,10,2026-04-04,OF. EXTERNA OMEREQUE,33,33,0
ICCCM,2026-06-30,10,2026-04-06,OF. EXTERNA OMEREQUE,75,74,7
ICCCM,2026-06-30,10,2026-04-07,OF. EXTERNA OMEREQUE,58,58,0
ICCCM,2026-06-30,10,2026-04-08,OF. EXTERNA OMEREQUE,68,68,0
ICCCM,2026-06-30,10,2026-04-09,OF. EXTERNA OMEREQUE,46,46,0
ICCCM,2026-06-30,10,2026-04-10,OF. EXTERNA OMEREQUE,42,42,0
ICCCM,2026-06-30,10,2026-04-11,OF. EXTERNA OMEREQUE,43,43,0
ICCCM,2026-06-30,10,2026-04-13,OF. EXTERNA OMEREQUE,74,73,0
ICCCM,2026-06-30,10,2026-04-14,OF. EXTERNA OMEREQUE,47,47,0
ICCCM,2026-06-30,10,2026-04-15,OF. EXTERNA OMEREQUE,67,67,0
ICCCM,2026-06-30,10,2026-04-16,OF. EXTERNA OMEREQUE,53,52,0
ICCCM,2026-06-30,10,2026-04-17,OF. EXTERNA OMEREQUE,51,49,0
ICCCM,2026-06-30,10,2026-04-18,OF. EXTERNA OMEREQUE,46,46,0
ICCCM,2026-06-30,10,2026-04-20,OF. EXTERNA OMEREQUE,73,73,0
ICCCM,2026-06-30,10,2026-04-21,OF. EXTERNA OMEREQUE,64,64,0
ICCCM,2026-06-30,10,2026-04-22,OF. EXTERNA OMEREQUE,85,84,0
ICCCM,2026-06-30,10,2026-04-23,OF. EXTERNA OMEREQUE,57,56,0
ICCCM,2026-06-30,10,2026-04-24,OF. EXTERNA OMEREQUE,29,29,0
ICCCM,2026-06-30,10,2026-04-25,OF. EXTERNA OMEREQUE,37,36,1
ICCCM,2026-06-30,10,2026-04-27,OF. EXTERNA OMEREQUE,63,63,0
ICCCM,2026-06-30,10,2026-04-28,OF. EXTERNA OMEREQUE,40,39,0
ICCCM,2026-06-30,10,2026-04-29,OF. EXTERNA OMEREQUE,62,61,1
ICCCM,2026-06-30,10,2026-06-30,OF. EXTERNA OMEREQUE,58,58,0
ICCCM,2026-06-30,10,2026-05-02,OF. EXTERNA OMEREQUE,38,37,1
ICCCM,2026-06-30,10,2026-05-04,OF. EXTERNA OMEREQUE,70,70,0
ICCCM,2026-06-30,10,2026-05-05,OF. EXTERNA OMEREQUE,78,77,0
ICCCM,2026-06-30,10,2026-05-06,OF. EXTERNA OMEREQUE,47,47,0
