CODENVIO,FECHACORTE,CODPAF,FECHAATENCION,DESCRIPCIONPAF,TOTALFICHASCAJA,TOTALFICHASSINNULOS,TOTALFICHASMAYOR30
ICCCM,2026-06-30,10,2026-04-01,Caja,119,118,0
ICCCM,2026-06-30,10,2026-04-02,Caja,115,115,0
ICCCM,2026-06-30,10,2026-04-04,Caja,90,90,0
ICCCM,2026-06-30,10,2026-04-06,Caja,189,188,0
ICCCM,2026-06-30,10,2026-04-07,Caja,167,163,0
ICCCM,2026-06-30,10,2026-04-08,Caja,155,153,0
ICCCM,2026-06-30,10,2026-04-09,Caja,112,112,0
ICCCM,2026-06-30,10,2026-04-10,Caja,109,109,0
ICCCM,2026-06-30,10,2026-04-11,Caja,100,100,0
ICCCM,2026-06-30,10,2026-04-13,Caja,133,133,0
ICCCM,2026-06-30,10,2026-04-14,Caja,146,145,0
ICCCM,2026-06-30,10,2026-04-15,Caja,121,121,0
ICCCM,2026-06-30,10,2026-04-16,Caja,110,110,0
ICCCM,2026-06-30,10,2026-04-17,Caja,130,130,0
ICCCM,2026-06-30,10,2026-04-18,Caja,97,97,0
ICCCM,2026-06-30,10,2026-04-20,Caja,162,162,0
ICCCM,2026-06-30,10,2026-04-21,Caja,143,143,0
ICCCM,2026-06-30,10,2026-04-22,Caja,125,125,0
ICCCM,2026-06-30,10,2026-04-23,Caja,122,119,0
ICCCM,2026-06-30,10,2026-04-24,Caja,127,126,0
ICCCM,2026-06-30,10,2026-04-25,Caja,107,107,0
ICCCM,2026-06-30,10,2026-04-27,Caja,143,141,0
ICCCM,2026-06-30,10,2026-04-28,Caja,118,117,0
ICCCM,2026-06-30,10,2026-04-29,Caja,98,97,0
ICCCM,2026-06-30,10,2026-04-30,Caja,120,120,0
ICCCM,2026-06-30,10,2026-05-02,Caja,98,96,0
ICCCM,2026-06-30,10,2026-05-04,Caja,159,158,0
ICCCM,2026-06-30,10,2026-05-05,Caja,122,122,0
ICCCM,2026-06-30,10,2026-05-06,Caja,81,81,0
ICCCM,2026-06-30,10,2026-05-07,Caja,85,85,0
ICCCM,2026-06-30,10,2026-05-08,Caja,104,104,0
ICCCM,2026-06-30,10,2026-05-09,Caja,85,85,0
ICCCM,2026-06-30,10,2026-05-11,Caja,128,125,0
ICCCM,2026-06-30,10,2026-05-12,Caja,118,118,0
ICCCM,2026-06-30,10,2026-05-13,Caja,108,108,0
ICCCM,2026-06-30,10,2026-05-14,Caja,70,70,0
ICCCM,2026-06-30,10,2026-05-15,Caja,98,97,0
ICCCM,2026-06-30,10,2026-05-16,Caja,84,84,0
ICCCM,2026-06-30,10,2026-05-18,Caja,125,124,0
ICCCM,2026-06-30,10,2026-05-19,Caja,88,87,0
ICCCM,2026-06-30,10,2026-05-20,Caja,110,110,0
ICCCM,2026-06-30,10,2026-05-21,Caja,113,113,0
ICCCM,2026-06-30,10,2026-05-22,Caja,132,131,0
ICCCM,2026-06-30,10,2026-05-23,Caja,77,77,0
ICCCM,2026-06-30,10,2026-05-25,Caja,142,142,0
ICCCM,2026-06-30,10,2026-05-26,Caja,106,105,0
ICCCM,2026-06-30,10,2026-05-27,Caja,98,98,0
ICCCM,2026-06-30,10,2026-05-28,Caja,83,82,0
ICCCM,2026-06-30,10,2026-05-29,Caja,105,105,0
ICCCM,2026-06-30,10,2026-05-30,Caja,82,82,0
ICCCM,2026-06-30,10,2026-06-01,Caja,147,147,0
ICCCM,2026-06-30,10,2026-06-02,Caja,83,81,0
ICCCM,2026-06-30,10,2026-06-03,Caja,108,107,0
ICCCM,2026-06-30,10,2026-06-06,Caja,116,116,0
ICCCM,2026-06-30,10,2026-06-08,Caja,161,160,0
ICCCM,2026-06-30,10,2026-06-09,Caja,119,119,0
ICCCM,2026-06-30,10,2026-06-10,Caja,51,51,0
ICCCM,2026-06-30,10,2026-06-11,Caja,133,132,0
ICCCM,2026-06-30,10,2026-06-12,Caja,116,116,0
ICCCM,2026-06-30,10,2026-06-13,Caja,80,80,0
ICCCM,2026-06-30,10,2026-06-15,Caja,141,140,0
ICCCM,2026-06-30,10,2026-06-16,Caja,100,99,0
ICCCM,2026-06-30,10,2026-06-17,Caja,92,92,0
ICCCM,2026-06-30,10,2026-06-18,Caja,110,109,0
ICCCM,2026-06-30,10,2026-06-19,Caja,115,114,0
ICCCM,2026-06-30,10,2026-06-20,Caja,88,88,0
ICCCM,2026-06-30,10,2026-06-23,Caja,156,151,10
ICCCM,2026-06-30,10,2026-06-24,Caja,131,131,0
ICCCM,2026-06-30,10,2026-06-25,Caja,117,117,0
ICCCM,2026-06-30,10,2026-06-26,Caja,113,113,0
ICCCM,2026-06-30,10,2026-06-27,Caja,6,6,0
ICCCM,2026-06-30,10,2026-06-29,Caja,136,134,0
ICCCM,2026-06-30,10,2026-06-30,Caja,118,118,0
