CODENVIO,FECHACORTE,CODPAF,FECHAATENCION,DESCRIPCIONPAF,TOTALFICHASCAJA,TOTALFICHASSINNULOS,TOTALFICHASMAYOR30
ICCCM,2026-06-30,12,2026-04-01,AGENCIA SAN ISIDRO,95,95,0
ICCCM,2026-06-30,12,2026-04-02,AGENCIA SAN ISIDRO,74,74,1
ICCCM,2026-06-30,12,2026-04-04,AGENCIA SAN ISIDRO,84,83,0
ICCCM,2026-06-30,12,2026-04-06,AGENCIA SAN ISIDRO,151,149,0
ICCCM,2026-06-30,12,2026-04-07,AGENCIA SAN ISIDRO,107,105,6
ICCCM,2026-06-30,12,2026-04-08,AGENCIA SAN ISIDRO,88,88,1
ICCCM,2026-06-30,12,2026-04-09,AGENCIA SAN ISIDRO,105,103,0
ICCCM,2026-06-30,12,2026-04-10,AGENCIA SAN ISIDRO,108,107,2
ICCCM,2026-06-30,12,2026-04-11,AGENCIA SAN ISIDRO,73,73,0
ICCCM,2026-06-30,12,2026-04-13,AGENCIA SAN ISIDRO,100,100,2
ICCCM,2026-06-30,12,2026-04-14,AGENCIA SAN ISIDRO,87,86,3
ICCCM,2026-06-30,12,2026-04-15,AGENCIA SAN ISIDRO,98,98,0
ICCCM,2026-06-30,12,2026-04-16,AGENCIA SAN ISIDRO,93,93,0
ICCCM,2026-06-30,12,2026-04-17,AGENCIA SAN ISIDRO,92,91,0
ICCCM,2026-06-30,12,2026-04-18,AGENCIA SAN ISIDRO,83,82,0
ICCCM,2026-06-30,12,2026-04-20,AGENCIA SAN ISIDRO,103,102,1
ICCCM,2026-06-30,12,2026-04-21,AGENCIA SAN ISIDRO,74,74,0
ICCCM,2026-06-30,12,2026-04-22,AGENCIA SAN ISIDRO,74,74,0
ICCCM,2026-06-30,12,2026-04-23,AGENCIA SAN ISIDRO,74,74,0
ICCCM,2026-06-30,12,2026-04-24,AGENCIA SAN ISIDRO,90,89,1
ICCCM,2026-06-30,12,2026-04-25,AGENCIA SAN ISIDRO,89,89,0
ICCCM,2026-06-30,12,2026-04-27,AGENCIA SAN ISIDRO,114,112,13
ICCCM,2026-06-30,12,2026-04-28,AGENCIA SAN ISIDRO,77,76,0
ICCCM,2026-06-30,12,2026-04-29,AGENCIA SAN ISIDRO,72,72,1
ICCCM,2026-06-30,12,2026-04-30,AGENCIA SAN ISIDRO,86,86,0
ICCCM,2026-06-30,12,2026-05-02,AGENCIA SAN ISIDRO,73,71,0
ICCCM,2026-06-30,12,2026-05-04,AGENCIA SAN ISIDRO,98,98,0
ICCCM,2026-06-30,12,2026-05-05,AGENCIA SAN ISIDRO,106,106,2
ICCCM,2026-06-30,12,2026-05-06,AGENCIA SAN ISIDRO,87,86,0
