CODENVIO,FECHACORTE,CODPAF,FECHAATENCION,DESCRIPCIONPAF,TOTALFICHASCAJA,TOTALFICHASSINNULOS,TOTALFICHASMAYOR30
ICCCM,2026-06-30,14,2026-04-01,AGENCIA SANTA CRUZ,158,153,0
ICCCM,2026-06-30,14,2026-04-02,AGENCIA SANTA CRUZ,97,95,0
ICCCM,2026-06-30,14,2026-04-04,AGENCIA SANTA CRUZ,106,101,3
ICCCM,2026-06-30,14,2026-04-06,AGENCIA SANTA CRUZ,205,201,0
ICCCM,2026-06-30,14,2026-04-07,AGENCIA SANTA CRUZ,132,131,0
ICCCM,2026-06-30,14,2026-04-08,AGENCIA SANTA CRUZ,135,131,0
ICCCM,2026-06-30,14,2026-04-09,AGENCIA SANTA CRUZ,102,96,0
ICCCM,2026-06-30,14,2026-04-10,AGENCIA SANTA CRUZ,138,129,0
ICCCM,2026-06-30,14,2026-04-11,AGENCIA SANTA CRUZ,105,104,0
ICCCM,2026-06-30,14,2026-04-13,AGENCIA SANTA CRUZ,162,157,0
ICCCM,2026-06-30,14,2026-04-14,AGENCIA SANTA CRUZ,123,118,0
ICCCM,2026-06-30,14,2026-04-15,AGENCIA SANTA CRUZ,137,134,0
ICCCM,2026-06-30,14,2026-04-16,AGENCIA SANTA CRUZ,136,129,0
ICCCM,2026-06-30,14,2026-04-17,AGENCIA SANTA CRUZ,112,106,0
ICCCM,2026-06-30,14,2026-04-18,AGENCIA SANTA CRUZ,88,87,0
ICCCM,2026-06-30,14,2026-04-20,AGENCIA SANTA CRUZ,128,126,0
ICCCM,2026-06-30,14,2026-04-21,AGENCIA SANTA CRUZ,114,112,0
ICCCM,2026-06-30,14,2026-04-22,AGENCIA SANTA CRUZ,89,86,0
ICCCM,2026-06-30,14,2026-04-23,AGENCIA SANTA CRUZ,92,90,0
ICCCM,2026-06-30,14,2026-04-24,AGENCIA SANTA CRUZ,104,101,0
ICCCM,2026-06-30,14,2026-04-25,AGENCIA SANTA CRUZ,79,79,0
ICCCM,2026-06-30,14,2026-04-27,AGENCIA SANTA CRUZ,128,122,0
ICCCM,2026-06-30,14,2026-04-28,AGENCIA SANTA CRUZ,104,97,0
ICCCM,2026-06-30,14,2026-04-29,AGENCIA SANTA CRUZ,112,109,0
ICCCM,2026-06-30,14,2026-04-30,AGENCIA SANTA CRUZ,126,121,0
ICCCM,2026-06-30,14,2026-05-02,AGENCIA SANTA CRUZ,119,114,16
ICCCM,2026-06-30,14,2026-05-04,AGENCIA SANTA CRUZ,169,163,0
ICCCM,2026-06-30,14,2026-05-05,AGENCIA SANTA CRUZ,116,107,0
ICCCM,2026-06-30,14,2026-05-06,AGENCIA SANTA CRUZ,87,84,0
ICCCM,2026-06-30,14,2026-05-07,AGENCIA SANTA CRUZ,81,76,0
ICCCM,2026-06-30,14,2026-05-08,AGENCIA SANTA CRUZ,60,57,0
ICCCM,2026-06-30,14,2026-05-09,AGENCIA SANTA CRUZ,60,58,0
ICCCM,2026-06-30,14,2026-05-11,AGENCIA SANTA CRUZ,135,131,0
ICCCM,2026-06-30,14,2026-05-12,AGENCIA SANTA CRUZ,88,85,0
ICCCM,2026-06-30,14,2026-05-13,AGENCIA SANTA CRUZ,76,75,0
ICCCM,2026-06-30,14,2026-05-14,AGENCIA SANTA CRUZ,76,74,0
ICCCM,2026-06-30,14,2026-05-15,AGENCIA SANTA CRUZ,100,94,0
ICCCM,2026-06-30,14,2026-05-16,AGENCIA SANTA CRUZ,57,56,0
ICCCM,2026-06-30,14,2026-05-18,AGENCIA SANTA CRUZ,104,100,0
ICCCM,2026-06-30,14,2026-05-19,AGENCIA SANTA CRUZ,69,65,0
ICCCM,2026-06-30,14,2026-05-20,AGENCIA SANTA CRUZ,57,56,0
ICCCM,2026-06-30,14,2026-05-21,AGENCIA SANTA CRUZ,48,47,0
ICCCM,2026-06-30,14,2026-05-22,AGENCIA SANTA CRUZ,79,74,0
